Date,Rate_Decision,Change_bp,Rate_Range,Stance,Notes,Monetary_Phase
2021-01-27,维持,0,0.00-0.25,鸽派,维持QE购债计划,Phase 1: QE/零利率
2021-03-17,维持,0,0.00-0.25,鸽派,维持QE,Phase 1: QE/零利率
2021-04-28,维持,0,0.00-0.25,鸽派,维持QE,Phase 1: QE/零利率
2021-06-16,维持,0,0.00-0.25,中性偏鸽,点阵图首次暗示2023年加息,Phase 1: QE/零利率
2021-07-28,维持,0,0.00-0.25,鸽派,维持QE,Phase 1: QE/零利率
2021-09-22,维持,0,0.00-0.25,中性偏鹰,暗示Taper即将开始,Phase 1: QE/零利率
2021-11-03,维持,0,0.00-0.25,中性,正式宣布Taper，每月减少150亿购债,Phase 1: QE/零利率
2021-12-15,维持,0,0.00-0.25,鹰派,加速Taper，点阵图显示2022年加息3次,Phase 1: QE/零利率
2022-01-26,维持,0,0.00-0.25,鹰派,暗示3月加息，停止购债,Phase 1: QE/零利率
2022-03-16,加息,25,0.25-0.50,鹰派,首次加息25bp，开启加息周期,Phase 2: 加息周期
2022-05-04,加息,50,0.75-1.00,鹰派,加息50bp，宣布6月开始缩表,Phase 2: 加息周期
2022-06-15,加息,75,1.50-1.75,激进鹰派,加息75bp，1994年以来最大单次加息,Phase 2: 加息周期
2022-07-27,加息,75,2.25-2.50,激进鹰派,连续第二次加息75bp,Phase 2: 加息周期
2022-09-21,加息,75,3.00-3.25,激进鹰派,连续第三次加息75bp,Phase 2: 加息周期
2022-11-02,加息,75,3.75-4.00,激进鹰派,连续第四次加息75bp,Phase 2: 加息周期
2022-12-14,加息,50,4.25-4.50,鹰派,加息放缓至50bp,Phase 2: 加息周期
2023-02-01,加息,25,4.50-4.75,鹰派,继续放缓至25bp,Phase 2: 加息周期
2023-03-22,加息,25,4.75-5.00,鹰派,硅谷银行危机期间仍加息,Phase 2: 加息周期
2023-05-03,加息,25,5.00-5.25,中性偏鹰,暗示可能暂停,Phase 2: 加息周期
2023-06-14,维持,0,5.00-5.25,中性,首次暂停加息,Phase 2: 加息周期
2023-07-26,加息,25,5.25-5.50,鹰派,最后一次加息，达到本轮峰值,Phase 3: 高位维持/降息
2023-09-20,维持,0,5.25-5.50,中性偏鹰,维持峰值利率,Phase 3: 高位维持/降息
2023-11-01,维持,0,5.25-5.50,中性,维持,Phase 3: 高位维持/降息
2023-12-13,维持,0,5.25-5.50,鸽派转向,点阵图首次显示2024年降息预期,Phase 3: 高位维持/降息
2024-01-31,维持,0,5.25-5.50,中性,维持，等待更多数据,Phase 3: 高位维持/降息
2024-03-20,维持,0,5.25-5.50,中性,维持,Phase 3: 高位维持/降息
2024-05-01,维持,0,5.25-5.50,中性,维持,Phase 3: 高位维持/降息
2024-06-12,维持,0,5.25-5.50,中性偏鸽,点阵图显示年内1次降息,Phase 3: 高位维持/降息
2024-07-31,维持,0,5.25-5.50,中性偏鸽,暗示9月降息,Phase 3: 高位维持/降息
2024-09-18,降息,-50,4.75-5.00,鸽派,首次降息50bp，超预期,Phase 3: 高位维持/降息
2024-11-07,降息,-25,4.50-4.75,鸽派,降息25bp,Phase 3: 高位维持/降息
2024-12-18,降息,-25,4.25-4.50,中性偏鸽,降息25bp，但点阵图上调2025年利率预期,Phase 3: 高位维持/降息
2025-01-29,维持,0,4.25-4.50,中性,维持，关注通胀和就业,Phase 3: 高位维持/降息
2025-03-19,维持,0,4.25-4.50,中性,维持，关税不确定性上升,Phase 3: 高位维持/降息
2025-05-07,维持,0,4.25-4.50,中性,维持,Phase 3: 高位维持/降息
2025-06-18,维持,0,4.25-4.50,中性,维持,Phase 3: 高位维持/降息
